kpi_id,month_year,department,kpi_name,kpi_value,target_value,unit,trend,benchmark_comparison
KPI00001,2024-01,Reproductive Endocrinology,Average Wait Time,0.649,0.727,count,Declining,At Industry Average
KPI00002,2024-01,Reproductive Endocrinology,Patient Satisfaction Score,0.764,0.75,%,Stable,Below Industry Average
KPI00003,2024-01,Reproductive Endocrinology,Equipment Utilization Rate,0.709,0.868,count,Improving,Below Industry Average
KPI00004,2024-01,Reproductive Endocrinology,Room Utilization Rate,0.651,0.864,%,Volatile,At Industry Average
KPI00005,2024-01,Reproductive Endocrinology,Staff Productivity Score,0.678,0.753,minutes,Improving,Above Industry Average
KPI00006,2024-01,Reproductive Endocrinology,Appointment No-Show Rate,0.631,0.881,USD,Declining,At Industry Average
KPI00007,2024-01,Reproductive Endocrinology,Cost Per Patient,0.661,0.713,score,Improving,Above Industry Average
KPI00008,2024-01,Reproductive Endocrinology,Revenue Per Patient,0.736,0.918,score,Stable,Above Industry Average
KPI00009,2024-01,Reproductive Endocrinology,Treatment Success Rate,0.528,0.766,count,Improving,Above Industry Average
KPI00010,2024-01,Reproductive Endocrinology,Patient Throughput,0.674,0.773,%,Declining,Above Industry Average
KPI00011,2024-01,Reproductive Endocrinology,Overtime Hours,0.534,0.818,score,Improving,Below Industry Average
KPI00012,2024-01,Reproductive Endocrinology,Staff Turnover Rate,0.628,0.763,score,Volatile,Below Industry Average
KPI00013,2024-01,Embryology Lab,Average Wait Time,0.734,0.911,rate,Declining,Above Industry Average
KPI00014,2024-01,Embryology Lab,Patient Satisfaction Score,0.792,0.838,rate,Stable,Above Industry Average
KPI00015,2024-01,Embryology Lab,Equipment Utilization Rate,0.742,0.856,USD,Stable,Below Industry Average
KPI00016,2024-01,Embryology Lab,Room Utilization Rate,0.796,0.701,count,Declining,Above Industry Average
KPI00017,2024-01,Embryology Lab,Staff Productivity Score,0.717,0.804,USD,Volatile,Above Industry Average
KPI00018,2024-01,Embryology Lab,Appointment No-Show Rate,0.764,0.798,rate,Declining,Below Industry Average
KPI00019,2024-01,Embryology Lab,Cost Per Patient,0.651,0.823,score,Stable,At Industry Average
KPI00020,2024-01,Embryology Lab,Revenue Per Patient,0.597,0.724,score,Improving,Below Industry Average
KPI00021,2024-01,Embryology Lab,Treatment Success Rate,0.929,0.737,USD,Stable,Above Industry Average
KPI00022,2024-01,Embryology Lab,Patient Throughput,0.667,0.893,minutes,Declining,Above Industry Average
KPI00023,2024-01,Embryology Lab,Overtime Hours,0.754,0.859,%,Declining,Below Industry Average
KPI00024,2024-01,Embryology Lab,Staff Turnover Rate,0.958,0.774,count,Improving,Below Industry Average
KPI00025,2024-01,Andrology,Average Wait Time,0.878,0.877,rate,Volatile,Above Industry Average
KPI00026,2024-01,Andrology,Patient Satisfaction Score,0.814,0.939,USD,Volatile,Above Industry Average
KPI00027,2024-01,Andrology,Equipment Utilization Rate,0.668,0.745,USD,Declining,Above Industry Average
KPI00028,2024-01,Andrology,Room Utilization Rate,0.587,0.727,%,Declining,Above Industry Average
KPI00029,2024-01,Andrology,Staff Productivity Score,0.623,0.83,score,Improving,Below Industry Average
KPI00030,2024-01,Andrology,Appointment No-Show Rate,0.554,0.924,%,Declining,Below Industry Average
KPI00031,2024-01,Andrology,Cost Per Patient,0.587,0.77,score,Improving,Below Industry Average
KPI00032,2024-01,Andrology,Revenue Per Patient,0.787,0.787,minutes,Improving,At Industry Average
KPI00033,2024-01,Andrology,Treatment Success Rate,0.54,0.908,minutes,Volatile,At Industry Average
KPI00034,2024-01,Andrology,Patient Throughput,0.656,0.851,rate,Stable,Above Industry Average
KPI00035,2024-01,Andrology,Overtime Hours,0.665,0.843,count,Volatile,Above Industry Average
KPI00036,2024-01,Andrology,Staff Turnover Rate,0.525,0.818,score,Improving,Below Industry Average
KPI00037,2024-01,Nursing,Average Wait Time,0.62,0.865,score,Volatile,Below Industry Average
KPI00038,2024-01,Nursing,Patient Satisfaction Score,0.799,0.853,%,Volatile,At Industry Average
KPI00039,2024-01,Nursing,Equipment Utilization Rate,0.731,0.726,%,Declining,Above Industry Average
KPI00040,2024-01,Nursing,Room Utilization Rate,0.722,0.934,USD,Volatile,At Industry Average
KPI00041,2024-01,Nursing,Staff Productivity Score,0.707,0.809,count,Volatile,At Industry Average
