cost_id,date,category,subcategory,amount,currency,vendor,department,budget_allocated,approval_status,payment_status,invoice_number
COST00001,2025-02-27,IT Support,Sub-ITSupport-3,6335.88,USD,Advanced Medical Systems,Counseling,8273.03,Pending,Paid,INV9207-3579
COST00002,2024-01-10,IT Support,Sub-ITSupport-5,627.47,USD,Health Systems Pro,Reproductive Endocrinology,757.09,Approved,Paid,INV7389-7324
COST00003,2025-07-25,Insurance,Sub-Insurance-3,7162.61,USD,,Nursing,10143.98,Approved,Paid,INV6506-6515
COST00004,2025-09-22,Medical Supplies,Sub-MedicalSupplies-1,26360.9,USD,MedTech Solutions,Andrology,23918.89,Pending,Paid,INV6941-7508
COST00005,2025-09-22,Rent/Lease,Sub-Rent/Lease-4,11205.87,USD,Clinical Solutions Ltd,Counseling,10224.89,Pending,Due,INV5146-6813
COST00006,2024-05-29,Marketing,Sub-Marketing-2,16719.66,USD,,Counseling,24916.45,Approved,Paid,INV5697-6718
COST00007,2024-10-06,IT Support,Sub-ITSupport-4,16835.3,USD,Clinical Solutions Ltd,Surgery,23527.04,Approved,Overdue,INV2707-7706
COST00008,2025-03-03,Training,Sub-Training-1,10908.83,USD,Clinical Solutions Ltd,Andrology,12579.46,Approved,Paid,INV2889-8421
COST00009,2024-10-08,Insurance,Sub-Insurance-1,4660.27,USD,Health Systems Pro,Ultrasound,4140.73,Approved,Paid,INV7054-9758
COST00010,2025-09-03,Staff Salaries,Sub-StaffSalaries-5,110521.47,USD,Medical Devices Inc,Nursing,106348.29,Approved,Paid,INV9594-9016
COST00011,2024-07-14,Equipment Maintenance,Sub-EquipmentMaintenance-3,31674.7,USD,BioMed Corp,Reproductive Endocrinology,38388.71,Approved,Paid,INV1322-7079
COST00012,2024-12-07,Marketing,Sub-Marketing-3,8073.66,USD,MedTech Solutions,Ultrasound,6995.09,Approved,Paid,INV2704-3547
COST00013,2025-08-21,Utilities,Sub-Utilities-1,7703.5,USD,MedTech Solutions,Andrology,9072.68,Approved,Paid,INV2014-3169
